
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        140 K
Registry                       228 Services                   0     39,780 K
smss.exe                       732 Services                   0      1,168 K
csrss.exe                     1068 Services                   0      6,548 K
wininit.exe                   1164 Services                   0      7,004 K
services.exe                  1236 Services                   0     10,968 K
lsass.exe                     1308 Services                   0     29,484 K
svchost.exe                   1456 Services                   0     38,504 K
fontdrvhost.exe               1476 Services                   0      3,412 K
WUDFHost.exe                  1572 Services                   0     19,320 K
svchost.exe                   1620 Services                   0     18,680 K
svchost.exe                   1676 Services                   0      9,304 K
WUDFHost.exe                  1804 Services                   0     18,520 K
svchost.exe                   1932 Services                   0     10,560 K
svchost.exe                   1976 Services                   0      6,192 K
svchost.exe                   2004 Services                   0      8,932 K
svchost.exe                   2012 Services                   0     20,468 K
svchost.exe                   1724 Services                   0     11,648 K
svchost.exe                   2076 Services                   0     16,468 K
svchost.exe                   2088 Services                   0     19,304 K
svchost.exe                   2112 Services                   0      7,124 K
svchost.exe                   2212 Services                   0     10,352 K
svchost.exe                   2220 Services                   0     10,580 K
svchost.exe                   2240 Services                   0      9,440 K
svchost.exe                   2348 Services                   0      9,380 K
svchost.exe                   2420 Services                   0      6,236 K
svchost.exe                   2452 Services                   0     15,600 K
IntelCpHDCPSvc.exe            2532 Services                   0      5,340 K
svchost.exe                   2680 Services                   0      9,232 K
svchost.exe                   2752 Services                   0     10,432 K
svchost.exe                   2804 Services                   0      7,360 K
svchost.exe                   2528 Services                   0     14,560 K
svchost.exe                   3184 Services                   0     17,096 K
svchost.exe                   3240 Services                   0      5,572 K
svchost.exe                   3248 Services                   0     12,500 K
svchost.exe                   3260 Services                   0      7,680 K
Memory Compression            3368 Services                   0    168,648 K
svchost.exe                   3424 Services                   0      8,264 K
svchost.exe                   3456 Services                   0      9,680 K
svchost.exe                   3464 Services                   0      9,368 K
svchost.exe                   3588 Services                   0     21,456 K
svchost.exe                   3740 Services                   0     21,100 K
svchost.exe                   3792 Services                   0     15,696 K
svchost.exe                   3864 Services                   0     15,824 K
svchost.exe                   3924 Services                   0      6,900 K
svchost.exe                   4068 Services                   0     10,116 K
svchost.exe                   3576 Services                   0     21,648 K
AsusOptimization.exe          3296 Services                   0     10,636 K
svchost.exe                   3236 Services                   0     13,620 K
spoolsv.exe                   4024 Services                   0     18,052 K
svchost.exe                   4328 Services                   0      7,728 K
svchost.exe                   4336 Services                   0      9,400 K
AsusSystemDiagnosis.exe       4572 Services                   0      9,504 K
AsusSwitch.exe                4584 Services                   0      7,656 K
AsusLinkRemote.exe            4596 Services                   0      9,756 K
AsusSoftwareManager.exe       4612 Services                   0     14,236 K
svchost.exe                   4620 Services                   0     37,288 K
Everything.exe                4628 Services                   0      6,836 K
AsusLinkNear.exe              4640 Services                   0     15,500 K
AsusAppService.exe            4648 Services                   0     23,516 K
ELANFPService.exe             4668 Services                   0      5,648 K
AsusSystemAnalysis.exe        4660 Services                   0     17,896 K
RstMwService.exe              4684 Services                   0      8,404 K
GlideXService.exe             4704 Services                   0     11,436 K
IntelAudioService.exe         4712 Services                   0     28,188 K
svchost.exe                   4720 Services                   0      5,668 K
OneApp.IGCC.WinService.ex     4728 Services                   0     43,036 K
svchost.exe                   4760 Services                   0     11,300 K
DtsApo4Service.exe            4768 Services                   0     12,592 K
svchost.exe                   4780 Services                   0     44,888 K
svchost.exe                   4788 Services                   0     10,160 K
jhi_service.exe               4796 Services                   0      6,244 K
vmnetdhcp.exe                 4804 Services                   0      5,528 K
GlideXServiceExt.exe          4820 Services                   0      3,844 K
svchost.exe                   4832 Services                   0     18,936 K
RtkAudUService64.exe          4840 Services                   0     18,252 K
vmnat.exe                     4880 Services                   0      7,272 K
svchost.exe                   4912 Services                   0     21,304 K
svchost.exe                   5084 Services                   0      9,144 K
WMIRegistrationService.ex     5156 Services                   0     12,776 K
vmware-usbarbitrator64.ex     5436 Services                   0     11,372 K
vmware-authd.exe              5444 Services                   0     10,832 K
svchost.exe                   5760 Services                   0     19,764 K
